Episode 001 | steps=100 | base= -7.00 | shaped= 14.84 | together= 4.0/step (100.0%) | coal_bonus= 0.48 | coop_attackers= 4 | loss=-0.0656 | entropy=2.618 | saved 
Episode 002 | steps=100 | base= -3.20 | shaped= 18.40 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0556 | entropy=2.364 | saved 
Episode 003 | steps=100 | base= -2.70 | shaped= 17.64 | together= 4.0/step (100.0%) | coal_bonus= 0.24 | coop_attackers= 2 | loss=-0.0587 | entropy=2.451 | saved 
Episode 004 | steps=100 | base= -2.60 | shaped= 17.50 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0673 | entropy=2.512 | saved 
Episode 005 | steps=100 | base= -2.30 | shaped= 16.12 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0474 | entropy=2.471 | saved 
Episode 006 | steps=100 | base= -2.00 | shaped= 19.90 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0521 | entropy=2.589 | saved 
Episode 007 | steps=100 | base= -2.90 | shaped= 15.58 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0611 | entropy=2.585 | saved 
Episode 008 | steps=100 | base= -2.30 | shaped= 16.12 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0465 | entropy=2.580 | saved 
Episode 009 | steps=100 | base= -2.40 | shaped= 17.10 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0612 | entropy=2.514 | saved 
Episode 010 | steps=100 | base= -2.20 | shaped= 17.90 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0584 | entropy=2.492 | saved 
Episode 011 | steps=100 | base= -2.20 | shaped= 19.10 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0537 | entropy=2.446 | saved 
Episode 012 | steps=100 | base= -2.20 | shaped= 19.10 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0523 | entropy=2.545 | saved 
Episode 013 | steps=100 | base= -2.30 | shaped= 19.54 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0620 | entropy=2.521 | saved 
Episode 014 | steps=100 | base= -2.30 | shaped= 19.78 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0698 | entropy=2.501 | saved 
Episode 015 | steps=100 | base= -2.10 | shaped= 19.98 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0589 | entropy=2.423 | saved 
Episode 016 | steps=100 | base= -2.10 | shaped= 20.22 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0572 | entropy=2.508 | saved 
Episode 017 | steps=100 | base= -2.60 | shaped= 16.06 | together= 4.0/step (100.0%) | coal_bonus= 0.24 | coop_attackers= 2 | loss=-0.0515 | entropy=2.642 | saved 
Episode 018 | steps=100 | base= -2.40 | shaped= 19.92 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0718 | entropy=2.493 | saved 
Episode 019 | steps=100 | base= -2.20 | shaped= 20.36 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0561 | entropy=2.497 | saved 
Episode 020 | steps=100 | base= -2.20 | shaped= 19.28 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0614 | entropy=2.460 | saved

Episode 001 | steps=100 | base= -3.00 | shaped= 3.24 | together= 3.3/step ( 82.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0526 | entropy=2.664 | saved
Episode 002 | steps=100 | base= -2.40 | shaped= 7.20 | together= 3.7/step ( 92.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0367 | entropy=2.461 | saved
Episode 003 | steps=100 | base= -2.60 | shaped= 4.76 | together= 3.4/step ( 85.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0403 | entropy=2.514 | saved
Episode 004 | steps=100 | base= -2.20 | shaped= 3.56 | together= 3.2/step ( 80.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0338 | entropy=2.387 | saved
Episode 005 | steps=100 | base= -2.50 | shaped= 4.22 | together= 3.3/step ( 83.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0415 | entropy=2.396 | saved
Episode 006 | steps=100 | base= -2.40 | shaped= 3.52 | together= 3.2/step ( 81.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0264 | entropy=2.479 | saved
Episode 007 | steps=100 | base= -2.40 | shaped= 7.52 | together= 3.7/step ( 93.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0346 | entropy=2.345 | saved
Episode 008 | steps=100 | base= -2.20 | shaped= 6.44 | together= 3.6/step ( 89.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0325 | entropy=2.403 | saved
Episode 009 | steps=100 | base= -2.40 | shaped= 7.84 | together= 3.8/step ( 94.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0356 | entropy=2.554 | saved
Episode 010 | steps=100 | base= -2.60 | shaped= 4.84 | together= 3.4/step ( 85.0%) | coal_bonus= 0.24 | coop_attackers= 2 | loss=-0.0401 | entropy=2.583 | saved
Episode 011 | steps=100 | base= -2.50 | shaped= 6.30 | together= 3.6/step ( 90.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0372 | entropy=2.569 | saved
Episode 012 | steps=100 | base= -2.10 | shaped= 7.98 | together= 3.8/step ( 94.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0355 | entropy=2.506 | saved
Episode 013 | steps=100 | base= -2.30 | shaped= 5.70 | together= 3.5/step ( 87.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0529 | entropy=2.436 | saved
Episode 014 | steps=100 | base= -2.00 | shaped= 9.84 | together= 4.0/step ( 99.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0371 | entropy=2.227 | saved
Episode 015 | steps=100 | base= -2.20 | shaped= 8.52 | together= 3.8/step ( 96.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0410 | entropy=2.372 | saved
Episode 016 | steps=100 | base= -2.20 | shaped= 7.24 | together= 3.7/step ( 92.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0372 | entropy=2.439 | saved
Episode 017 | steps=100 | base= -2.30 | shaped= 7.62 | together= 3.7/step ( 93.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0463 | entropy=2.493 | saved
Episode 018 | steps=100 | base= -2.10 | shaped= 9.58 | together= 4.0/step ( 99.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0367 | entropy=2.363 | saved
Episode 019 | steps=100 | base= -2.20 | shaped= 8.84 | together= 3.9/step ( 97.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0356 | entropy=2.394 | saved
Episode 020 | steps=100 | base= -2.40 | shaped= 5.60 | together= 3.5/step ( 87.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0537 | entropy=2.476 | saved



Episode 001 | steps=100 | base= -18.80 | shaped= 7.02 | together= 3.0/step ( 74.5%) | coal_bonus= 25.90 | coop_attackers= 74 | loss=-0.0074 | entropy=3.025 | saved 
Episode 002 | steps=100 | base= -27.00 | shaped= 35.58 | together= 2.7/step ( 68.0%) | coal_bonus= 63.70 | coop_attackers= 182 | loss=0.0664 | entropy=2.198 | saved 
Episode 003 | steps=100 | base= -42.00 | shaped= 102.00 | together= 4.0/step (100.0%) | coal_bonus= 140.00 | coop_attackers= 400 | loss=-0.0291 | entropy=0.427 | saved 
Episode 004 | steps=100 | base= -41.60 | shaped= 99.60 | together= 4.0/step (100.0%) | coal_bonus= 137.20 | coop_attackers= 392 | loss=-0.1252 | entropy=1.339 | saved 
